what,kind,bundleId,bundleVersion,description,time
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431219899876
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431219899905
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431219899956
error,log,,,"Plug-in org.eclipse.angularjs.ui was unable to load class org.eclipse.angularjs.internal.ui.validation.HTMLAngularSourceValidator.",1431219901368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431219901910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431219905190
error,log,,,"Unhandled event loop exception",1431219907966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431219976963
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431219979628
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431219994072
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220014625
error,log,,,"Unhandled event loop exception",1431220050321
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220081922
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220084744
error,log,,,"Unhandled event loop exception",1431220103389
error,log,,,"Unhandled event loop exception",1431220124340
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220154170
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220159470
error,log,,,"Unhandled event loop exception",1431220164105
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1431220175123
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1431220178252
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431220179049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220181568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220369179
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431220372050
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220372263
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1431220383606
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431220420237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431220426129
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1431220438061
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431220490626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431220492578
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431220498201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431220510301
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431220520848
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431220531661
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431220538866
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220539046
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220558134
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220562821
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431220582176
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220582352
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431220598306
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220598485
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431220603980
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220604188
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220642027
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220648465
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220653047
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431220656103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220658435
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220681081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431220715779
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431220724791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431220735663
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431220743303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220744430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431220891492
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431221018048
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431221106605
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1431221129228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431221156210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431221163281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431221172032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431221173392
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431221194740
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431221196661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431221302769
