what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431650194449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650194844
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650197777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650227157
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431650242397
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431650243496
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431650245136
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1431650247582
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650264477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650265747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650286841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650301950
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650303331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650310300
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650354399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650356145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650363045
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650373723
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650375240
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650382945
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650384354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650384830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650385281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650385711
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650386242
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650386628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650387624
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650388314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650388732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650389391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650391721
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650399472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650430438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650431866
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650465991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650487787
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650591008
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650607824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650608686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650636312
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650638228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650639522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650640727
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431650669706
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650671522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650695961
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431650707592
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431650711397
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650715610
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650717982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431650731540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431650732762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431650733842
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1431650741060
