what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1431547998707
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431547999789
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548003258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548017345
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431548017470
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431548062627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431548083731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431548088391
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431548091545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431548113966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548115463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548159343
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548175735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548207856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431548219236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548220500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548229537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431548247155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548248488
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548318430
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431548325023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548326396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431548351869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431548360044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431548360687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431548361524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431548363157
