what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431761550858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761553643
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761607181
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431761648433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431761698909
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431761702083
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431761704968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431761714022
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431761716676
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431761718785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761793820
opened,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1431761798621
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1431761798635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761798895
executed,command,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.openFileSearchPage",1431761798987
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761799489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761805513
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1431761819589
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1431761819592
error,log,,,"Problems encountered during text search.",1431761819668
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761819744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761822630
opened,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431761843397
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431761843449
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431761850839
closed,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431761850839
activated,view,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search.ui.views.SearchView",1431761854827
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431761905998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431761967440
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431761971430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431762051285
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431762061098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431762063464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431762103738
