what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431725068031
error,log,,,"error during type inferencing",1431725068543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431725077897
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431725086239
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431725103186
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431725111467
error,log,,,"error during type inferencing",1431725111988
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431725115010
error,log,,,"error during type inferencing",1431725116183
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431725120279
error,log,,,"error during type inferencing",1431725121813
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431725122122
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431725158551
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431725162830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431725165734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431725174905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431725177686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431725374360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431725380051
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431725383986
error,log,,,"error during type inferencing",1431725385725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431725390071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431725411585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431725416504
