what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729012714
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431729014040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729014944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729016646
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729147547
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431729150651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431729152363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431729155062
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729156250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729157280
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729176328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729178982
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729200131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431729202209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729203570
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729204615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729209047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729209053
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729221797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729237606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729300951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1431729308495
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1431729310001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431729315328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1431729323231
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1431729323573
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431729326896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431729329907
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1431729330980
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729331369
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729332194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729339933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729344282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729346198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729393585
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729408408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729410011
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729422518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729465803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729491620
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431729493953
error,log,,,"Core exception while retrieving the content description",1431729494057
error,log,,,"Core exception while retrieving the content description",1431729494059
error,log,,,"Core exception while retrieving the content description",1431729494061
error,log,,,"Core exception while retrieving the content description",1431729494074
error,log,,,"Core exception while retrieving the content description",1431729494075
error,log,,,"Core exception while retrieving the content description",1431729494137
error,log,,,"Core exception while retrieving the content description",1431729494141
error,log,,,"Core exception while retrieving the content description",1431729494143
error,log,,,"Core exception while retrieving the content description",1431729494145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729494205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729495218
activated,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431729495244
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1431729496762
executed,command,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui.edit.text.java.format",1431729497485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431729524833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729530279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729534695
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729534756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729534770
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729552978
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431729555732
closed,editor,org.nodeclipse.ui,0.17.0.201409260936,"org.nodeclipse.ui.editors.NodeEditor",1431729555732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729572801
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729573773
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729639384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431729642199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729643736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729644559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729660702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729670884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729672876
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729677415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729683674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729684518
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729703850
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729707435
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729709189
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729714032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729718464
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729725152
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431729734994
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431729742117
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1431729743588
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729744512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729749641
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1431729749655
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1431729749655
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431729750012
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729753056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729759633
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729764792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729765686
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729775680
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729778049
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729778952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729788176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431729792921
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729793948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729795199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729810527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729814280
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729816047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729827939
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1431729831434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729832225
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729833263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729848427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431729849869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729853079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729854136
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729881951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729895359
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729896285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729900450
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431729905824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729906699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729948695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431729959551
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730003475
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431730005057
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431730005522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730006417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730025070
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730034331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730067978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431730077223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431730085963
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730087652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730095883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431730100266
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730101245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730139284
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730152582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730267595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431730271570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431730278319
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730279191
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730298144
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431730302422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730305563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730310846
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431730318463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730319403
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730326626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431730330611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730331490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730331530
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730331626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431730344838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431730348887
