what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1431533203654
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431533225092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533293547
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533293696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431533293699
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533306251
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533408456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431533411209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431533524141
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533524145
error,log,,,"Unhandled event loop exception",1431533524939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533548209
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431533551073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431533562368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533564782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533581601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533582999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533603138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1431533605191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431533613917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431533617046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431533623799
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533625366
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533649497
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431533658891
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431533662535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431533665446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533667301
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533676039
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431533678819
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431533681357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431533682616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431533685698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537704767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431537726643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537729650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537744334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431537749358
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431537758171
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431537760917
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431537804074
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537805606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537913038
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1431537916110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431537924480
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537927713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537933156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431537939388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431537940391
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431537943331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431537945059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537946487
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537969761
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431537971490
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538000308
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431538006301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538007798
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538010549
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431538014041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1431538014988
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431538016678
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538017677
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538033131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538036317
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538039465
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1431538042384
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1431538045349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538052167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538106681
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538107343
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538180388
activated,editor,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.core.csssource.source",1431538184331
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538190479
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1431538190737
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538203150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1431538210514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538218738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1431538218759
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538222561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538227068
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1431538227084
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538230354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1431538249933
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431538251341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538252608
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538290526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538292789
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538294174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538295969
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538297019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538300208
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538301889
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538303545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538305781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538307618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538309509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538310897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538312498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538314530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538315349
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1431538317091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1431538323502
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1431538325054
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1431538332857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1431538337708
